id;numero_publicacion_gaceta;fecha_publicacion_gaceta;tipo_red;created_at;updated_at;fecha_vencimiento
125;000;0001-01-01;privada;2015-11-13 17:27:59.537;2015-11-13 17:27:59.537;NULL
156;201;2009-10-16;privada;2015-11-16 15:57:39.597;2015-11-16 15:57:39.597;NULL
163;207;2009-10-26;privada;2015-11-16 16:05:15.373;2015-11-16 16:05:15.373;NULL
177;247;2009-12-21;publica;2015-11-16 17:22:48.230;2015-11-16 17:22:48.230;NULL
184;236;2009-12-04;publica;2015-11-16 19:35:53.167;2015-11-16 19:35:53.167;NULL
190;247;2009-12-21;privada;2015-11-16 21:25:15.897;2015-11-16 21:25:15.897;NULL
195;000;0001-01-01;publica;2015-11-16 21:59:31.777;2015-11-16 21:59:31.777;NULL
196;193;2012-11-29;publica;2015-11-17 14:48:02.660;2015-11-17 14:48:02.660;NULL
206;000;0001-01-01;publica;2015-11-17 17:14:02.290;2015-11-17 17:14:02.290;NULL
214;236;2009-12-04;publica;2015-11-17 19:08:00.400;2015-11-17 19:08:00.400;NULL
219;40;2010-02-26;publica;2015-11-17 19:46:38.027;2015-11-17 19:46:38.027;NULL
220;125;2010-06-29;publica;2015-11-17 20:12:00.090;2015-11-17 20:12:00.090;NULL
223;137;2012-07-16;publica;2015-11-17 20:37:47.013;2015-11-17 20:37:47.013;NULL
227;250;2010-12-24;publica;2015-11-17 21:00:15.860;2015-11-17 21:00:15.860;NULL
238;125;2010-06-29;publica;2015-11-18 15:53:09.650;2015-11-18 15:53:09.650;NULL
239;148;2010-07-30;publica;2015-11-18 16:17:33.307;2015-11-18 16:17:33.307;NULL
242;000;0001-01-01;publica;2015-11-18 19:22:27.777;2015-11-18 19:22:27.777;NULL
246;000;0001-01-01;publica;2015-11-18 20:08:39.177;2015-11-18 20:08:39.177;NULL
248;205;2012-10-24;publica;2015-11-18 20:31:27.397;2015-11-18 20:31:27.397;NULL
251;236;2009-12-04;publica;2015-11-18 20:48:30.230;2015-11-18 20:48:30.230;NULL
257;195;2010-10-07;publica;2015-11-18 21:21:17.340;2015-11-18 21:21:17.340;NULL
270;000;0001-01-01;privada;2015-11-19 16:09:04.590;2015-11-19 16:09:04.590;NULL
283;125;2010-06-29;publica;2015-11-19 17:25:42.333;2015-11-19 17:25:42.333;NULL
285;236;2009-12-04;publica;2015-11-19 19:12:16.593;2015-11-19 19:12:16.593;NULL
288;71;2011-04-12;publica;2015-11-19 20:07:06.497;2015-11-19 20:07:06.497;NULL
301;51;2013-03-13;publica;2015-11-20 16:27:59.860;2015-11-20 16:27:59.860;2023-03-13
303;000;0001-01-01;publica;2015-11-20 16:41:50.127;2015-11-20 16:41:50.127;0001-01-01
304;000;0001-01-01;publica;2015-11-20 16:46:12.437;2015-11-20 16:46:12.437;NULL
308;171;2009-09-02;publica;2015-11-20 17:27:47.447;2015-11-20 17:27:47.447;2019-09-02
324;250;2010-12-24;publica;2015-11-23 14:49:27.643;2015-11-23 14:49:27.643;2020-12-24
326;36;2012-02-20;publica;2015-11-23 15:36:31.587;2015-11-23 15:36:31.587;2022-02-20
327;247;2009-12-21;publica;2015-11-23 15:39:59.243;2015-11-23 15:39:59.243;2019-12-21
328;198;2011-10-14;publica;2015-11-23 15:54:51.510;2015-11-23 15:54:51.510;2021-10-14
332;247;2009-12-22;publica;2015-11-23 17:03:13.503;2015-11-23 17:03:13.503;2019-12-22
334;171;2009-09-02;publica;2015-11-23 17:22:01.390;2015-11-23 17:22:01.390;2019-09-02
