id;canton;prov_id;created_at;updated_at
1;ALAJUELA;1;2015-10-07 22:00:00.283;2015-10-07 22:00:00.283
2;ALFARO_RUIZ;1;2015-10-07 22:00:00.423;2015-10-07 22:20:38.053
3;ATENAS;1;2015-10-07 22:00:00.500;2015-10-07 22:00:00.500
4;GRECIA;1;2015-10-07 22:00:00.610;2015-10-07 22:00:00.610
5;GUATUSO;1;2015-10-07 22:00:00.673;2015-10-07 22:00:00.673
6;LOS_CHILES;1;2015-10-07 22:00:00.703;2015-10-07 22:20:38.070
7;NARANJO;1;2015-10-07 22:00:00.750;2015-10-07 22:00:00.750
8;OROTINA;1;2015-10-07 22:00:00.813;2015-10-07 22:00:00.813
9;PALMARES;1;2015-10-07 22:00:00.877;2015-10-07 22:00:00.877
10;POAS;1;2015-10-07 22:00:00.940;2015-10-07 22:00:00.940
11;SAN_CARLOS;1;2015-10-07 22:00:00.987;2015-10-07 22:20:38.100
12;SAN_MATEO;1;2015-10-07 22:00:01.110;2015-10-07 22:20:38.117
13;SAN_RAMON;1;2015-10-07 22:00:01.143;2015-10-07 22:20:38.133
14;UPALA;1;2015-10-07 22:00:01.267;2015-10-07 22:00:01.267
15;VALVERDE_VEGA;1;2015-10-07 22:00:01.330;2015-10-07 22:20:38.147
16;ALVARADO;2;2015-10-07 22:00:01.393;2015-10-07 22:00:01.393
17;CARTAGO;2;2015-10-07 22:00:01.410;2015-10-07 22:00:01.410
18;EL_GUARCO;2;2015-10-07 22:00:01.517;2015-10-07 22:20:38.180
19;JIMENEZ;2;2015-10-07 22:00:01.567;2015-10-07 22:00:01.567
20;LA_UNION;2;2015-10-07 22:00:01.597;2015-10-07 22:20:38.193
21;OREAMUNO;2;2015-10-07 22:00:01.677;2015-10-07 22:00:01.677
22;PARAISO;2;2015-10-07 22:00:01.720;2015-10-07 22:00:01.720
23;TURRIALBA;2;2015-10-07 22:00:01.767;2015-10-07 22:00:01.767
24;ABANGARES;3;2015-10-07 22:00:01.877;2015-10-07 22:00:01.877
25;BAGACES;3;2015-10-07 22:00:01.927;2015-10-07 22:00:01.927
26;CANAS;3;2015-10-07 22:00:01.957;2015-10-07 22:00:01.957
27;CARRILLO;3;2015-10-07 22:00:02.017;2015-10-07 22:00:02.017
28;HOJANCHA;3;2015-10-07 22:00:02.050;2015-10-07 22:00:02.050
29;LA_CRUZ;3;2015-10-07 22:00:02.097;2015-10-07 22:20:38.240
30;LIBERIA;3;2015-10-07 22:00:02.127;2015-10-07 22:00:02.127
31;NANDAYURE;3;2015-10-07 22:00:02.190;2015-10-07 22:00:02.190
32;NICOYA;3;2015-10-07 22:00:02.253;2015-10-07 22:00:02.253
33;SANTA_CRUZ;3;2015-10-07 22:00:02.330;2015-10-07 22:20:38.257
34;TILARAN;3;2015-10-07 22:00:02.410;2015-10-07 22:00:02.410
35;BARVA;4;2015-10-07 22:00:02.487;2015-10-07 22:00:02.487
36;BELEN;4;2015-10-07 22:00:02.533;2015-10-07 22:00:02.533
37;FLORES;4;2015-10-07 22:00:02.567;2015-10-07 22:00:02.567
38;HEREDIA;4;2015-10-07 22:00:02.597;2015-10-07 22:00:02.597
39;SAN_ISIDRO;4;2015-10-07 22:00:02.660;2015-10-07 22:20:38.287
40;SAN_PABLO;4;2015-10-07 22:00:02.690;2015-10-07 22:20:38.303
41;SAN_RAFAEL;4;2015-10-07 22:00:02.707;2015-10-07 22:20:38.320
42;SANTA_BARBARA;4;2015-10-07 22:00:02.753;2015-10-07 22:20:38.337
43;SANTO_DOMINGO;4;2015-10-07 22:00:02.817;2015-10-07 22:20:38.337
44;SARAPIQUI;4;2015-10-07 22:00:02.893;2015-10-07 22:00:02.893
45;GUACIMO;5;2015-10-07 22:00:02.940;2015-10-07 22:00:02.940
46;LIMON;5;2015-10-07 22:00:02.987;2015-10-07 22:00:02.987
47;MATINA;5;2015-10-07 22:00:03.033;2015-10-07 22:00:03.033
48;POCOCI;5;2015-10-07 22:00:03.067;2015-10-07 22:00:03.067
49;SIQUIRRES;5;2015-10-07 22:00:03.113;2015-10-07 22:00:03.113
50;TALAMANCA;5;2015-10-07 22:00:03.177;2015-10-07 22:00:03.177
51;AGUIRRE;6;2015-10-07 22:00:03.220;2015-10-07 22:00:03.220
52;BUENOS_AIRES;6;2015-10-07 22:00:03.253;2015-10-07 22:20:38.383
53;CORREDORES;6;2015-10-07 22:00:03.347;2015-10-07 22:00:03.347
54;COTO_BRUS;6;2015-10-07 22:00:03.377;2015-10-07 22:20:38.397
55;ESPARZA;6;2015-10-07 22:00:03.427;2015-10-07 22:00:03.427
56;GARABITO;6;2015-10-07 22:00:03.487;2015-10-07 22:00:03.487
57;GOLFITO;6;2015-10-07 22:00:03.503;2015-10-07 22:00:03.503
58;MONTES_DE_ORO;6;2015-10-07 22:00:03.550;2015-10-07 22:20:38.430
59;OSA;6;2015-10-07 22:00:03.580;2015-10-07 22:00:03.580
60;PARRITA;6;2015-10-07 22:00:03.627;2015-10-07 22:00:03.627
61;PUNTARENAS;6;2015-10-07 22:00:03.643;2015-10-07 22:00:03.643
62;ACOSTA;7;2015-10-07 22:00:03.800;2015-10-07 22:00:03.800
