id;adecuacion_poder_ejecutivo;created_at;updated_at;fecha_adecuacion_poder_ejecutivo;numero_adecuacion_poder_ejecutivo
89;NULL;2015-12-07 17:00:12.903;2015-12-07 17:00:12.903;NULL;
106;NULL;2015-12-07 20:23:43.397;2015-12-07 20:23:43.397;NULL;
107;NULL;2015-12-07 20:28:26.287;2015-12-07 20:28:26.287;2009-12-18;Resolución - RT-028-2009- MINAET
112;NULL;2015-12-08 19:36:34.863;2015-12-08 19:36:34.863;2009-12-18;RESOLUCIÓN-RT-029-2009-MINAET
132;NULL;2015-12-08 20:37:32.183;2015-12-08 20:37:32.183;NULL;
177;NULL;2015-12-09 21:21:54.607;2015-12-09 21:21:54.607;2009-11-16;Resolución - RT- 0019 - 2009- MINAET
179;NULL;2015-12-09 21:24:05.703;2015-12-09 21:24:05.703;2009-11-16;Resolución - RT- 022 - 2009 - MINAET
184;NULL;2015-12-17 14:54:09.827;2015-12-17 14:54:09.827;NULL;
186;NULL;2015-12-17 16:48:38.090;2015-12-17 16:48:38.090;NULL;
187;NULL;2015-12-18 16:02:38.003;2015-12-18 16:02:38.003;2009-11-16;RESOLUCIÓN RT-023-2009-MINAET
223;NULL;2016-01-06 16:43:43.867;2016-01-06 16:43:43.867;NULL;
229;NULL;2016-01-06 17:22:49.213;2016-01-06 17:22:49.213;NULL;
243;NULL;2016-01-06 20:17:15.687;2016-01-06 20:17:15.687;NULL;
247;NULL;2016-01-06 21:30:40.507;2016-01-06 21:30:40.507;2009-12-18;
262;NULL;2016-01-08 16:23:29.153;2016-01-08 16:23:29.153;2009-12-18;RESOLUCIÓN-RT-029-2009-MINAET
315;NULL;2016-01-21 19:21:13.233;2016-01-21 19:21:13.233;2011-11-01;ACUERDO EJECUTIVO N°TEL-083-2011-MINAET
316;NULL;2016-01-21 19:39:36.750;2016-01-21 19:39:36.750;NULL;
321;NULL;2016-01-26 20:09:40.873;2016-01-26 20:09:40.873;NULL;No hay Adecuación
322;NULL;2016-01-26 20:11:21.747;2016-01-26 20:11:21.747;NULL;No hay Adecuación
323;NULL;2016-01-26 20:11:50.297;2016-01-26 20:11:50.297;NULL;No hay Adecuación
324;NULL;2016-01-26 20:12:50.843;2016-01-26 20:12:50.843;NULL;No hay Adecuación
325;NULL;2016-01-26 20:13:39.890;2016-01-26 20:13:39.890;NULL;No hay Adecuación
326;NULL;2016-01-26 20:16:15.907;2016-01-26 20:16:15.907;NULL;No hay Adecuación
327;NULL;2016-01-26 20:17:53.857;2016-01-26 20:17:53.857;NULL;No hay Adecuación
328;NULL;2016-01-26 20:18:44.467;2016-01-26 20:18:44.467;NULL;No hay Adecuación
329;NULL;2016-01-26 20:19:44.013;2016-01-26 20:19:44.013;NULL;No hay Adecuación
330;NULL;2016-01-26 20:20:35.280;2016-01-26 20:20:35.280;NULL;No hay Adecuación
332;NULL;2016-01-26 20:22:05.797;2016-01-26 20:22:05.797;NULL;No hay Adecuación
333;NULL;2016-01-26 20:22:43.093;2016-01-26 20:22:43.093;NULL;No hay Adecuación
334;NULL;2016-01-26 20:23:40.407;2016-01-26 20:23:40.407;NULL;No hay Adecuación
1320;NULL;2016-01-27 14:23:54.337;2016-01-27 14:23:54.337;2009-11-16;RESOLUCIÓN-RT-018-2009-MINAET
1325;NULL;2016-01-27 14:37:57.887;2016-01-27 14:37:57.887;2009-12-18;RESOLUCIÓN-RT-026-2009
1327;NULL;2016-02-04 16:40:00.577;2016-02-04 16:40:00.577;2015-07-17;ACUERDO EJECUTIVO No.184-2015-TEL-MICITT 
1329;NULL;2016-02-04 17:52:13.257;2016-02-04 17:52:13.257;2015-07-17;ACUERDO EJECUTIVO No.185-2015-TEL-MICITT
1330;NULL;2016-02-04 17:53:22.697;2016-02-04 17:53:22.697;2015-07-17;ACUERDO EJECUTIVO No.185-2015-TEL-MICITT
1334;NULL;2016-02-10 14:50:36.540;2016-02-10 14:50:36.540;2015-09-07;ACUERDO EJECUTIVO No. 252-2015-TEL-MICITT
1335;NULL;2016-02-10 15:10:56.693;2016-02-10 15:10:56.693;2015-09-07;ACUERDO EJECUTIVO No. 252-2015-TEL-MICITT
1337;NULL;2016-02-11 15:52:00.740;2016-02-11 15:52:00.740;2009-11-03;RT-016-2009 IBW Comunicaciones S.A.
1338;NULL;2016-02-11 15:54:02.583;2016-02-11 15:54:02.583;2009-11-03;RT-016-2009 IBW Comunicaciones S.A.
1339;NULL;2016-02-11 15:57:10.820;2016-02-11 15:57:10.820;2009-11-03;RESOLUCIÓN-RT-016-2009-MINAET/ Actualmente IBW Comunicaciones S.A.
1340;NULL;2016-02-11 16:15:42.657;2016-02-11 16:15:42.657;NULL;
1341;NULL;2016-02-12 18:00:16.757;2016-02-12 18:00:16.757;2011-08-12;061-2011-MINAET
1342;NULL;2016-02-12 18:07:44.010;2016-02-12 18:07:44.010;2011-08-12;061-2011-MINAET
1356;NULL;2016-02-17 20:31:27.227;2016-02-17 20:31:27.227;NULL;
1360;NULL;2016-05-16 16:26:56.690;2016-05-16 16:26:56.690;NULL;No hay Adecuación
1366;NULL;2016-05-16 17:52:49.467;2016-05-16 17:52:49.467;NULL;No hay Adecuación
