id;created_at;updated_at;contador_as;contador_md;md;as
1;2015-09-25 22:24:11.473;2015-11-10 15:43:54.843;1;1;1;1
2;2015-09-25 22:24:11.520;2015-11-11 09:32:13.760;2;2;1;1
3;2015-09-25 22:24:11.537;2015-11-11 09:34:28.147;3;3;1;1
4;2015-09-25 22:24:11.553;2015-11-11 09:37:03.210;4;4;1;1
5;2015-09-25 22:24:11.567;2015-11-11 14:48:41.923;5;5;1;1
6;2015-09-25 22:24:11.567;2015-11-12 19:21:26.553;6;6;1;1
7;2015-09-25 22:24:11.583;2015-11-12 19:24:58.837;7;7;1;1
8;2015-09-25 22:24:11.583;2015-11-12 20:30:25.897;8;8;1;1
9;2015-09-25 22:24:11.597;2015-11-13 16:54:51.540;9;9;1;1
10;2015-09-25 22:24:11.613;2015-11-13 17:21:16.207;10;10;1;1
11;2015-09-25 22:24:11.613;2015-11-13 21:02:12.987;11;11;1;1
12;2015-09-25 22:24:11.630;2015-11-16 15:45:48.170;12;12;1;1
13;2015-09-25 22:24:11.630;2015-11-16 17:00:16.310;13;13;1;1
14;2015-09-25 22:24:11.647;2015-11-16 20:22:53.843;14;14;1;1
15;2015-09-25 22:24:11.660;2015-11-16 21:59:31.763;15;15;1;1
16;2015-09-25 22:24:11.660;2015-11-17 15:34:14.070;16;16;1;1
17;2015-09-25 22:24:11.677;2015-11-17 16:12:44.587;17;17;1;1
18;2015-09-25 22:24:11.677;2015-11-17 17:14:02.260;18;18;1;1
19;2015-09-25 22:24:11.693;2015-11-17 17:46:19.587;19;19;1;1
20;2015-09-25 22:24:11.707;2015-11-17 19:14:37.027;20;20;1;1
21;2015-09-25 22:24:11.723;2015-11-17 20:45:57.217;21;21;1;1
22;2015-09-25 22:24:11.723;2015-11-18 16:31:05.720;22;22;1;1
23;2015-09-25 22:24:11.740;2015-11-18 16:31:05.847;23;23;1;1
24;2015-09-25 22:24:11.740;2015-11-18 16:31:07.110;24;24;1;1
25;2015-09-25 22:24:11.757;2015-11-18 16:34:48.217;25;25;1;1
26;2015-09-25 22:24:11.770;2015-11-18 16:36:40.203;26;26;1;1
27;2015-09-25 22:24:11.770;2015-11-18 16:37:36.490;27;27;1;1
28;2015-09-25 22:24:11.787;2015-11-18 19:29:23.487;28;28;1;1
29;2015-09-25 22:24:11.787;2015-11-18 20:08:39.127;29;29;1;1
30;2015-09-25 22:24:11.803;2015-11-19 17:17:11.713;30;30;1;1
31;2015-09-25 22:24:11.803;2015-11-19 17:18:44.440;31;31;1;1
32;2015-09-25 22:24:11.817;2015-11-20 16:41:50.110;32;32;1;1
33;2015-09-25 22:24:11.833;2015-11-20 16:46:12.407;33;33;1;1
