id;rango_numeracion;numero_asignado;tipo_recurso_numerico;nota;recurso_numericos_id;created_at;updated_at
12;No Aplica Rango;800 1111124;revertido800;Recurso Numérico: Servicio especial de Cobro Revertido 800's ;7;2015-12-10 16:57:03.263;2015-12-10 16:57:03.263
13;No Aplica Rango;800 1111127;revertido800;Recurso Numérico: Servicio especial de Cobro Revertido 800's ;7;2015-12-10 16:57:03.263;2015-12-10 16:57:03.263
14;No Aplica Rango;800 0079637;revertido800;Recurso Numérico: Número especial de llamada de cobro revertido 800´s;8;2015-12-10 16:57:28.433;2015-12-10 16:57:28.433
15;NO APLICA RANGO;800 2762423;revertido800;Recurso Numérico: Número especialpara llamadas de Cobro Revertido automático 800's ;9;2015-12-10 16:58:04.450;2015-12-10 16:58:04.450
16;NO APLICA RANDO;800 2467288;revertido800;Recurso Numérico: Número especial para llamadas de Cobro Revertido automático 800's ;9;2015-12-10 16:58:04.450;2015-12-10 16:58:04.450
17;NO APLICA RANGO;800 2322437;revertido800;Recurso Numérico: Número especial para llamadas de Cobro Revertido automático 800's ;9;2015-12-10 16:58:04.467;2015-12-10 16:58:04.467
18;NO APLICA RANGO;800 0225832;revertido800;Recurso Numérico: Número especial para llamadas de Cobro Revertido automático 800's ;9;2015-12-10 16:58:04.467;2015-12-10 16:58:04.467
19;No aplica Rango;800 7767258;revertido800;Recurso Numérico: Número Especial para llamadas de Cobro Revertido 800's (7 digitos);10;2015-12-10 16:58:25.073;2015-12-10 16:58:25.073
21;No Aplica Rango;232;numeracion;Servicios de Mensajería de texto (SMS);12;2015-12-10 17:42:22.097;2015-12-10 17:42:22.097
22;No Aplica Rango;266;numeracion;Servicios de mensajería de texto (SMS);12;2015-12-10 17:42:22.097;2015-12-10 17:42:22.097
23;No Aplica Rango;854;numeracion;Servicios de mensajería de texto (SMS);12;2015-12-10 17:42:22.097;2015-12-10 17:42:22.097
24;No Aplica Rango ;222222;numeracion;Servicios de mensajería de texto (SMS);12;2015-12-10 17:42:22.110;2015-12-10 17:42:22.110
25;Del 232001 al 232010;Del 232001 al 232010;numeracion;Servicios de mensajería de texto (SMS);12;2015-12-10 17:42:22.110;2015-12-10 17:42:22.110
26;Del 266001 al 266100;Del 266001 al 266100;numeracion900;Servicios de mensajería de texto (SMS);12;2015-12-10 17:42:22.110;2015-12-10 17:42:22.110
27;Del 654001 al 654500;Del 654001 al 654500;numeracion;Servicios de mensajería de texto (SMS);12;2015-12-10 17:42:22.110;2015-12-10 17:42:22.110
