id;distrito;canton_id;created_at;updated_at
1;ALAJUELA;1;2015-10-07 22:00:05.503;2015-10-07 22:00:05.503
2;CARRIZAL;1;2015-10-07 22:00:05.533;2015-10-07 22:00:05.533
3;DESAMPARADOS;1;2015-10-07 22:00:05.550;2015-10-07 22:00:05.550
4;GARITA;1;2015-10-07 22:00:05.580;2015-10-07 22:00:05.580
5;GUACIMA;1;2015-10-07 22:00:05.613;2015-10-07 22:00:05.613
6;RIO_SEGUNDO;1;2015-10-07 22:00:05.643;2015-10-07 22:20:38.680
7;SABANILLA;1;2015-10-07 22:00:05.660;2015-10-07 22:00:05.660
8;SAN_ANTONIO;1;2015-10-07 22:00:05.690;2015-10-07 22:20:38.693
9;SAN_ISIDRO;1;2015-10-07 22:00:05.720;2015-10-07 22:20:38.693
10;SAN_JOSE;1;2015-10-07 22:00:05.753;2015-10-07 22:20:38.710
11;SAN_RAFAEL;1;2015-10-07 22:00:05.767;2015-10-07 22:20:38.727
12;SARAPIQUI;1;2015-10-07 22:00:05.800;2015-10-07 22:00:05.800
13;TAMBOR;1;2015-10-07 22:00:05.830;2015-10-07 22:00:05.830
14;TURRUCARES;1;2015-10-07 22:00:05.863;2015-10-07 22:00:05.863
15;BRISAS;2;2015-10-07 22:00:05.893;2015-10-07 22:00:05.893
16;GUADALUPE;2;2015-10-07 22:00:05.910;2015-10-07 22:00:05.910
17;LAGUNA;2;2015-10-07 22:00:05.940;2015-10-07 22:00:05.940
18;PALMIRA;2;2015-10-07 22:00:05.970;2015-10-07 22:00:05.970
19;TAPESCO;2;2015-10-07 22:00:05.987;2015-10-07 22:00:05.987
20;ZAPOTE;2;2015-10-07 22:00:06.017;2015-10-07 22:00:06.017
21;ZARCERO;2;2015-10-07 22:00:06.050;2015-10-07 22:00:06.050
22;ATENAS;3;2015-10-07 22:00:06.067;2015-10-07 22:00:06.067
23;CONCEPCION;3;2015-10-07 22:00:06.097;2015-10-07 22:00:06.097
24;ESCOBAL;3;2015-10-07 22:00:06.127;2015-10-07 22:00:06.127
25;JESUS;3;2015-10-07 22:00:06.160;2015-10-07 22:00:06.160
26;MERCEDES;3;2015-10-07 22:00:06.177;2015-10-07 22:00:06.177
27;SAN_ISIDRO;3;2015-10-07 22:00:06.207;2015-10-07 22:20:38.803
28;SAN_JOSE;3;2015-10-07 22:00:06.237;2015-10-07 22:20:38.803
29;SANTA_EULALIA;3;2015-10-07 22:00:06.253;2015-10-07 22:20:38.820
30;BOLIVAR;4;2015-10-07 22:00:06.283;2015-10-07 22:00:06.283
31;GRECIA;4;2015-10-07 22:00:06.317;2015-10-07 22:00:06.317
32;PUENTE_DE_PIEDRA;4;2015-10-07 22:00:06.330;2015-10-07 22:20:38.837
33;RIO_CUARTO;4;2015-10-07 22:00:06.363;2015-10-07 22:20:38.850
34;SAN_ISIDRO;4;2015-10-07 22:00:06.393;2015-10-07 22:20:38.867
35;SAN_JOSE;4;2015-10-07 22:00:06.427;2015-10-07 22:20:38.867
36;SAN_ROQUE;4;2015-10-07 22:00:06.440;2015-10-07 22:20:38.883
37;TACARES;4;2015-10-07 22:00:06.470;2015-10-07 22:00:06.470
38;BUENAVISTA;5;2015-10-07 22:00:06.503;2015-10-07 22:00:06.503
39;COTE;5;2015-10-07 22:00:06.517;2015-10-07 22:00:06.517
40;SAN_RAFAEL;5;2015-10-07 22:00:06.550;2015-10-07 22:20:38.913
41;CANO_NEGRO;6;2015-10-07 22:00:06.580;2015-10-07 22:20:38.913
42;EL_AMPARO;6;2015-10-07 22:00:06.597;2015-10-07 22:20:38.930
43;LOS_CHILES;6;2015-10-07 22:00:06.627;2015-10-07 22:20:38.943
44;SAN_JORGE;6;2015-10-07 22:00:06.660;2015-10-07 22:20:38.943
45;CIRRI_SUR;7;2015-10-07 22:00:06.677;2015-10-07 22:20:38.960
46;NARANJO;7;2015-10-07 22:00:06.707;2015-10-07 22:00:06.707
47;ROSARIO;7;2015-10-07 22:00:06.737;2015-10-07 22:00:06.737
48;SAN_JERONIMO;7;2015-10-07 22:00:06.767;2015-10-07 22:20:38.977
49;SAN_JOSE;7;2015-10-07 22:00:06.783;2015-10-07 22:20:38.990
50;SAN_JUAN;7;2015-10-07 22:00:06.817;2015-10-07 22:20:39.007
51;SAN_MIGUEL;7;2015-10-07 22:00:06.847;2015-10-07 22:20:39.007
52;CEIBA;8;2015-10-07 22:00:06.863;2015-10-07 22:00:06.863
53;COYOLAR;8;2015-10-07 22:00:06.893;2015-10-07 22:00:06.893
54;HACIENDA_VIEJA;8;2015-10-07 22:00:06.927;2015-10-07 22:20:39.037
55;MASTATE;8;2015-10-07 22:00:06.957;2015-10-07 22:00:06.957
56;OROTINA;8;2015-10-07 22:00:06.970;2015-10-07 22:00:06.970
57;BUENOS_AIRES;9;2015-10-07 22:00:07.003;2015-10-07 22:20:39.053
58;CANDELARIA;9;2015-10-07 22:00:07.033;2015-10-07 22:00:07.033
59;ESQUIPULAS;9;2015-10-07 22:00:07.050;2015-10-07 22:00:07.050
60;GRANJA;9;2015-10-07 22:00:07.080;2015-10-07 22:00:07.080
61;PALMARES;9;2015-10-07 22:00:07.113;2015-10-07 22:00:07.113
62;SANTIAGO;9;2015-10-07 22:00:07.127;2015-10-07 22:00:07.127
63;ZARAGOZA;9;2015-10-07 22:00:07.160;2015-10-07 22:00:07.160
64;CARRILLOS;10;2015-10-07 22:00:07.190;2015-10-07 22:00:07.190
65;SABANA_REDONDA;10;2015-10-07 22:00:07.220;2015-10-07 22:20:39.100
66;SAN_JUAN;10;2015-10-07 22:00:07.237;2015-10-07 22:20:39.100
67;SAN_PEDRO;10;2015-10-07 22:00:07.267;2015-10-07 22:20:39.117
68;SAN_RAFAEL;10;2015-10-07 22:00:07.300;2015-10-07 22:20:39.133
69;AGUAS_ZARCAS;11;2015-10-07 22:00:07.317;2015-10-07 22:20:39.133
70;BUENA_VISTA;11;2015-10-07 22:00:07.347;2015-10-07 22:20:39.147
71;CUTRIS;11;2015-10-07 22:00:07.377;2015-10-07 22:00:07.377
72;FLORENCIA;11;2015-10-07 22:00:07.393;2015-10-07 22:00:07.393
73;FORTUNA;11;2015-10-07 22:00:07.427;2015-10-07 22:00:07.427
74;MONTERREY;11;2015-10-07 22:00:07.457;2015-10-07 22:00:07.457
75;PALMERA;11;2015-10-07 22:00:07.487;2015-10-07 22:00:07.487
76;PITAL;11;2015-10-07 22:00:07.503;2015-10-07 22:00:07.503
77;POCOSOL;11;2015-10-07 22:00:07.533;2015-10-07 22:00:07.533
78;QUESADA;11;2015-10-07 22:00:07.567;2015-10-07 22:00:07.567
79;TIGRA;11;2015-10-07 22:00:07.580;2015-10-07 22:00:07.580
80;VENADO;11;2015-10-07 22:00:07.613;2015-10-07 22:00:07.613
81;VENECIA;11;2015-10-07 22:00:07.643;2015-10-07 22:00:07.643
82;DESMONTE;12;2015-10-07 22:00:07.677;2015-10-07 22:00:07.677
83;JESUS_MARIA;12;2015-10-07 22:00:07.690;2015-10-07 22:20:39.210
84;SAN_MATEO;12;2015-10-07 22:00:07.720;2015-10-07 22:20:39.227
85;ALFARO;13;2015-10-07 22:00:07.753;2015-10-07 22:00:07.753
86;ANGELES;13;2015-10-07 22:00:07.767;2015-10-07 22:00:07.767
87;CONCEPCION;13;2015-10-07 22:00:07.800;2015-10-07 22:00:07.800
88;PEÑAS_BLANCAS;13;2015-10-07 22:00:07.830;2015-10-07 22:20:39.240
89;PIEDADES_NORTE;13;2015-10-07 22:00:07.847;2015-10-07 22:20:39.257
90;PIEDADES_SUR;13;2015-10-07 22:00:07.877;2015-10-07 22:20:39.273
91;SAN_ISIDRO;13;2015-10-07 22:00:07.910;2015-10-07 22:20:39.273
92;SAN_JUAN;13;2015-10-07 22:00:07.927;2015-10-07 22:20:39.287
93;SAN_RAFAEL;13;2015-10-07 22:00:07.957;2015-10-07 22:20:39.303
94;SAN_RAMON;13;2015-10-07 22:00:07.987;2015-10-07 22:20:39.303
95;SANTIAGO;13;2015-10-07 22:00:08.017;2015-10-07 22:00:08.017
96;VOLIO;13;2015-10-07 22:00:08.033;2015-10-07 22:00:08.033
97;ZAPOTAL;13;2015-10-07 22:00:08.067;2015-10-07 22:00:08.067
98;AGUAS_CLARAS;14;2015-10-07 22:00:08.097;2015-10-07 22:20:39.337
99;BIJAGUA;14;2015-10-07 22:00:08.113;2015-10-07 22:00:08.113
100;DELICIAS;14;2015-10-07 22:00:08.143;2015-10-07 22:00:08.143
101;DOS_RIOS;14;2015-10-07 22:00:08.177;2015-10-07 22:20:39.350
102;SAN_JOSE;14;2015-10-07 22:00:08.207;2015-10-07 22:20:39.367
103;UPALA;14;2015-10-07 22:00:08.220;2015-10-07 22:00:08.220
104;YOLILLAL;14;2015-10-07 22:00:08.253;2015-10-07 22:00:08.253
105;RODRIGUEZ;15;2015-10-07 22:00:08.283;2015-10-07 22:00:08.283
106;SAN_PEDRO;15;2015-10-07 22:00:08.300;2015-10-07 22:20:39.383
107;SARCHI_NORTE;15;2015-10-07 22:00:08.330;2015-10-07 22:20:39.397
108;SARCHI_SUR;15;2015-10-07 22:00:08.363;2015-10-07 22:20:39.413
109;TORO_AMARILLO;15;2015-10-07 22:00:08.393;2015-10-07 22:20:39.413
110;CAPELLADES;16;2015-10-07 22:00:08.410;2015-10-07 22:00:08.410
111;CERVANTES;16;2015-10-07 22:00:08.440;2015-10-07 22:00:08.440
112;PACAYAS;16;2015-10-07 22:00:08.470;2015-10-07 22:00:08.470
113;AGUACALIENTE;17;2015-10-07 22:00:08.487;2015-10-07 22:00:08.487
114;CARMEN;17;2015-10-07 22:00:08.517;2015-10-07 22:00:08.517
115;CORRALILLO;17;2015-10-07 22:00:08.550;2015-10-07 22:00:08.550
116;DULCE_NOMBRE;17;2015-10-07 22:00:08.567;2015-10-07 22:20:39.460
117;GUADALUPE;17;2015-10-07 22:00:08.597;2015-10-07 22:00:08.597
118;LLANO_GRANDE;17;2015-10-07 22:00:08.627;2015-10-07 22:20:39.477
119;OCCIDENTAL;17;2015-10-07 22:00:08.660;2015-10-07 22:00:08.660
120;ORIENTAL;17;2015-10-07 22:00:08.677;2015-10-07 22:00:08.677
121;QUEBRADILLA;17;2015-10-07 22:00:08.707;2015-10-07 22:00:08.707
122;SAN_NICOLAS;17;2015-10-07 22:00:08.737;2015-10-07 22:20:39.490
123;TIERRA_BLANCA;17;2015-10-07 22:00:08.753;2015-10-07 22:20:39.507
124;PATIO_DE_AGUA;18;2015-10-07 22:00:08.783;2015-10-07 22:20:39.523
125;SAN_ISIDRO;18;2015-10-07 22:00:08.817;2015-10-07 22:20:39.523
126;TEJAR;18;2015-10-07 22:00:08.830;2015-10-07 22:00:08.830
