id;clasificacion_uso_espectro;titulo_id;titulo_type;created_at;updated_at
62;uso_no_comercial;31;Permiso;2015-11-17 16:31:27.757;2015-11-17 16:31:27.757
71;uso_no_comercial;32;Permiso;2015-11-18 16:31:05.767;2015-11-18 16:31:05.767
72;uso_no_comercial;33;Permiso;2015-11-18 16:31:05.860;2015-11-18 16:31:05.860
73;uso_no_comercial;34;Permiso;2015-11-18 16:31:07.127;2015-11-18 16:31:07.127
75;uso_no_comercial;35;Permiso;2015-11-18 16:34:48.217;2015-11-18 16:34:48.217
76;uso_no_comercial;36;Permiso;2015-11-18 16:36:40.233;2015-11-18 16:36:40.233
77;uso_no_comercial;37;Permiso;2015-11-18 16:37:36.490;2015-11-18 16:37:36.490
86;uso_comercial;4;ConcesionDirect;2015-11-26 16:09:40.203;2015-11-26 16:09:40.203
147;uso_comercial;89;ConsecionAnterior;2015-12-07 17:00:12.903;2015-12-07 17:00:12.903
164;no_aplica;106;ConsecionAnterior;2015-12-07 20:23:43.397;2015-12-07 20:23:43.397
165;uso_comercial;107;ConsecionAnterior;2015-12-07 20:28:26.287;2015-12-07 20:28:26.287
171;uso_comercial;25;ConcesionDirect;2015-12-08 17:28:20.663;2015-12-08 17:28:20.663
175;no_aplica;112;ConsecionAnterior;2015-12-08 19:36:34.863;2015-12-08 19:36:34.863
199;no_aplica;132;ConsecionAnterior;2015-12-08 20:37:32.183;2015-12-08 20:37:32.183
219;uso_no_comercial;40;Permiso;2015-12-09 19:20:12.577;2015-12-09 19:20:12.577
261;uso_comercial;177;ConsecionAnterior;2015-12-09 21:21:54.607;2015-12-09 21:21:54.607
263;uso_comercial;179;ConsecionAnterior;2015-12-09 21:24:05.703;2015-12-09 21:24:05.703
271;uso_no_comercial;57;Permiso;2015-12-10 16:21:46.837;2015-12-10 16:21:46.837
276;uso_no_comercial;62;Permiso;2015-12-10 17:15:01.530;2015-12-10 17:15:01.530
283;uso_comercial;69;Permiso;2015-12-10 19:39:30.860;2015-12-10 19:39:30.860
290;uso_no_comercial;76;Permiso;2015-12-10 20:41:15.927;2015-12-10 20:41:15.927
292;uso_no_comercial;78;Permiso;2015-12-10 21:22:50.043;2015-12-10 21:22:50.043
294;uso_no_comercial;80;Permiso;2015-12-10 21:25:40.090;2015-12-10 21:25:40.090
298;uso_no_comercial;84;Permiso;2015-12-11 14:20:05.427;2015-12-11 14:20:05.427
300;uso_no_comercial;86;Permiso;2015-12-11 14:56:25.557;2015-12-11 14:56:25.557
306;uso_seguridad_socorro_emergencia;92;Permiso;2015-12-11 16:01:53.753;2015-12-11 16:01:53.753
307;uso_no_comercial;93;Permiso;2015-12-11 16:21:24.583;2015-12-11 16:21:24.583
309;uso_no_comercial;95;Permiso;2015-12-11 17:04:44.213;2015-12-11 17:04:44.213
2299;uso_no_comercial;2085;Permiso;2015-12-14 15:08:12.677;2015-12-14 15:08:12.677
2301;uso_comercial;2087;Permiso;2015-12-14 16:10:22.670;2015-12-14 16:10:22.670
2304;uso_no_comercial;2090;Permiso;2015-12-14 16:35:17.640;2015-12-14 16:35:17.640
2316;uso_no_comercial;2102;Permiso;2015-12-14 21:01:15.120;2015-12-14 21:01:15.120
2318;uso_no_comercial;2104;Permiso;2015-12-14 21:28:02.077;2015-12-14 21:28:02.077
2321;uso_oficial;2107;Permiso;2015-12-15 16:56:19.393;2015-12-15 16:56:19.393
2322;uso_no_comercial;2108;Permiso;2015-12-15 16:57:55.097;2015-12-15 16:57:55.097
2324;uso_no_comercial;2110;Permiso;2015-12-15 17:53:30.010;2015-12-15 17:53:30.010
2326;uso_no_comercial;2112;Permiso;2015-12-15 19:34:06.193;2015-12-15 19:34:06.193
2327;uso_no_comercial;2113;Permiso;2015-12-15 20:12:54.370;2015-12-15 20:12:54.370
2329;uso_no_comercial;2115;Permiso;2015-12-15 21:01:55.547;2015-12-15 21:01:55.547
2331;uso_no_comercial;2117;Permiso;2015-12-15 21:28:13.397;2015-12-15 21:28:13.397
2332;uso_no_comercial;2118;Permiso;2015-12-15 21:30:19.957;2015-12-15 21:30:19.957
2333;uso_no_comercial;2119;Permiso;2015-12-15 21:56:49.213;2015-12-15 21:56:49.213
2340;uso_no_comercial;2126;Permiso;2015-12-16 16:57:40.720;2015-12-16 16:57:40.720
2345;uso_comercial;37;ConcesionDirect;2015-12-16 19:11:40.907;2015-12-16 19:11:40.907
2348;no_aplica;40;ConcesionDirect;2015-12-16 20:36:31.387;2015-12-16 20:36:31.387
2354;no_aplica;44;ConcesionDirect;2015-12-16 21:26:11.830;2015-12-16 21:26:11.830
2355;uso_no_comercial;2130;Permiso;2015-12-16 21:29:37.283;2015-12-16 21:29:37.283
2357;uso_no_comercial;2132;Permiso;2015-12-16 21:42:15.503;2015-12-16 21:42:15.503
2361;uso_comercial;184;ConsecionAnterior;2015-12-17 14:54:09.827;2015-12-17 14:54:09.827
2363;uso_no_comercial;2135;Permiso;2015-12-17 16:18:19.993;2015-12-17 16:18:19.993
2366;uso_comercial;186;ConsecionAnterior;2015-12-17 16:48:38.090;2015-12-17 16:48:38.090
2367;uso_no_comercial;2136;Permiso;2015-12-17 16:52:04.763;2015-12-17 16:52:04.763
2371;uso_seguridad_socorro_emergencia;2138;Permiso;2015-12-17 17:17:50.203;2015-12-17 17:17:50.203
2374;uso_no_comercial;2139;Permiso;2015-12-17 17:24:13.453;2015-12-17 17:24:13.453
2388;uso_comercial;2151;Permiso;2015-12-17 20:27:52.663;2015-12-17 20:27:52.663
2393;uso_comercial;2156;Permiso;2015-12-17 20:40:07.633;2015-12-17 20:40:07.633
2403;uso_no_comercial;2166;Permiso;2015-12-18 14:07:19.117;2015-12-18 14:07:19.117
2412;uso_comercial;187;ConsecionAnterior;2015-12-18 16:02:38.003;2015-12-18 16:02:38.003
2435;uso_no_comercial;2196;Permiso;2015-12-18 17:46:40.533;2015-12-18 17:46:40.533
2439;uso_comercial;53;ConcesionDirect;2015-12-18 19:15:14.667;2015-12-18 19:15:14.667
2452;uso_no_comercial;2211;Permiso;2015-12-21 15:28:42.297;2015-12-21 15:28:42.297
2454;uso_no_comercial;2213;Permiso;2015-12-21 15:47:21.317;2015-12-21 15:47:21.317
2456;uso_no_comercial;2215;Permiso;2015-12-21 16:01:00.193;2015-12-21 16:01:00.193
2458;uso_no_comercial;2217;Permiso;2015-12-21 16:16:52.897;2015-12-21 16:16:52.897
2464;uso_no_comercial;2223;Permiso;2015-12-21 17:24:01.420;2015-12-21 17:24:01.420
2466;uso_no_comercial;2225;Permiso;2015-12-21 17:35:22.987;2015-12-21 17:35:22.987
2467;uso_no_comercial;2226;Permiso;2015-12-21 17:45:32.767;2015-12-21 17:45:32.767
2469;uso_no_comercial;2228;Permiso;2015-12-21 17:49:49.283;2015-12-21 17:49:49.283
2473;uso_no_comercial;2232;Permiso;2015-12-21 19:06:30.573;2015-12-21 19:06:30.573
2475;uso_no_comercial;2234;Permiso;2015-12-21 19:41:31.187;2015-12-21 19:41:31.187
2481;uso_no_comercial;2240;Permiso;2015-12-21 20:18:48.253;2015-12-21 20:18:48.253
2483;uso_no_comercial;2242;Permiso;2015-12-21 20:21:42.647;2015-12-21 20:21:42.647
3486;uso_no_comercial;3245;Permiso;2015-12-22 16:04:57.877;2015-12-22 16:04:57.877
3488;uso_no_comercial;3247;Permiso;2015-12-22 16:28:35.363;2015-12-22 16:28:35.363
3489;uso_no_comercial;3248;Permiso;2015-12-22 16:51:06.947;2015-12-22 16:51:06.947
3495;uso_no_comercial;3254;Permiso;2015-12-22 17:29:55.107;2015-12-22 17:29:55.107
3526;uso_no_comercial;3285;Permiso;2015-12-23 19:59:48.523;2015-12-23 19:59:48.523
3551;uso_comercial;56;ConcesionDirect;2016-01-05 16:43:00.117;2016-01-05 16:43:00.117
3552;uso_oficial;57;ConcesionDirect;2016-01-05 17:47:44.343;2016-01-05 17:47:44.343
3554;uso_oficial;59;ConcesionDirect;2016-01-05 17:49:08.313;2016-01-05 17:49:08.313
3558;uso_oficial;61;ConcesionDirect;2016-01-05 19:33:58.700;2016-01-05 19:33:58.700
3569;no_aplica;65;ConcesionDirect;2016-01-05 21:23:27.073;2016-01-05 21:23:27.073
3572;uso_oficial;67;ConcesionDirect;2016-01-05 21:52:50.497;2016-01-05 21:52:50.497
3578;no_aplica;223;ConsecionAnterior;2016-01-06 16:43:43.880;2016-01-06 16:43:43.880
3587;no_aplica;229;ConsecionAnterior;2016-01-06 17:22:49.213;2016-01-06 17:22:49.213
3590;uso_comercial;75;ConcesionDirect;2016-01-06 17:35:35.247;2016-01-06 17:35:35.247
3603;no_aplica;243;ConsecionAnterior;2016-01-06 20:17:15.687;2016-01-06 20:17:15.687
3607;uso_oficial;247;ConsecionAnterior;2016-01-06 21:30:40.507;2016-01-06 21:30:40.507
3609;uso_comercial;77;ConcesionDirect;2016-01-06 21:48:05.790;2016-01-06 21:48:05.790
3612;uso_comercial;80;ConcesionDirect;2016-01-07 16:57:29.427;2016-01-07 16:57:29.427
3613;no_aplica;81;ConcesionDirect;2016-01-07 17:19:08.523;2016-01-07 17:19:08.523
3631;no_aplica;262;ConsecionAnterior;2016-01-08 16:23:29.153;2016-01-08 16:23:29.153
3634;uso_no_comercial;3286;Permiso;2016-01-11 21:38:41.943;2016-01-11 21:38:41.943
3637;no_aplica;3289;Permiso;2016-01-12 16:48:39.733;2016-01-12 16:48:39.733
3639;uso_no_comercial;3291;Permiso;2016-01-12 19:55:00.397;2016-01-12 19:55:00.397
3640;uso_no_comercial;3292;Permiso;2016-01-12 20:08:59.617;2016-01-12 20:08:59.617
3648;uso_no_comercial;3293;Permiso;2016-01-13 18:06:31.010;2016-01-13 18:06:31.010
3657;uso_comercial;3294;Permiso;2016-01-15 15:14:07.637;2016-01-15 15:14:07.637
3663;uso_no_comercial;3295;Permiso;2016-01-15 16:17:39.470;2016-01-15 16:17:39.470
3668;uso_no_comercial;3297;Permiso;2016-01-15 16:44:59.007;2016-01-15 16:44:59.007
3672;uso_no_comercial;3300;Permiso;2016-01-15 17:05:40.107;2016-01-15 17:05:40.107
3675;uso_no_comercial;3301;Permiso;2016-01-15 17:14:43.997;2016-01-15 17:14:43.997
3679;uso_no_comercial;3302;Permiso;2016-01-15 18:04:40.070;2016-01-15 18:04:40.070
3692;uso_no_comercial;3305;Permiso;2016-01-18 14:45:50.163;2016-01-18 14:45:50.163
3694;uso_no_comercial;3307;Permiso;2016-01-18 14:51:16.243;2016-01-18 14:51:16.243
3700;uso_no_comercial;3308;Permiso;2016-01-19 21:25:59.643;2016-01-19 21:25:59.643
3708;uso_comercial;86;ConcesionDirect;2016-01-20 15:52:01.213;2016-01-20 15:52:01.213
3709;uso_comercial;3309;Permiso;2016-01-20 16:55:02.987;2016-01-20 16:55:02.987
3710;uso_no_comercial;3310;Permiso;2016-01-20 17:22:06.800;2016-01-20 17:22:06.800
3711;uso_seguridad_socorro_emergencia;3311;Permiso;2016-01-20 17:37:32.583;2016-01-20 17:37:32.583
3712;uso_no_comercial;3312;Permiso;2016-01-20 18:16:01.887;2016-01-20 18:16:01.887
3713;uso_seguridad_socorro_emergencia;3313;Permiso;2016-01-20 19:26:59.143;2016-01-20 19:26:59.143
3714;uso_seguridad_socorro_emergencia;3314;Permiso;2016-01-20 19:43:46.613;2016-01-20 19:43:46.613
3715;uso_seguridad_socorro_emergencia;3315;Permiso;2016-01-20 20:07:13.633;2016-01-20 20:07:13.633
3717;uso_no_comercial;3317;Permiso;2016-01-20 20:19:58.087;2016-01-20 20:19:58.087
3720;uso_no_comercial;3318;Permiso;2016-01-20 20:32:56.650;2016-01-20 20:32:56.650
3721;uso_seguridad_socorro_emergencia;3319;Permiso;2016-01-20 20:55:48.107;2016-01-20 20:55:48.107
3723;uso_no_comercial;3321;Permiso;2016-01-21 13:48:51.943;2016-01-21 13:48:51.943
3725;uso_seguridad_socorro_emergencia;3323;Permiso;2016-01-21 14:00:08.917;2016-01-21 14:00:08.917
3732;uso_no_comercial;3330;Permiso;2016-01-21 14:38:20.060;2016-01-21 14:38:20.060
3734;uso_no_comercial;3332;Permiso;2016-01-21 14:46:34.420;2016-01-21 14:46:34.420
3735;uso_no_comercial;3333;Permiso;2016-01-21 15:22:25.207;2016-01-21 15:22:25.207
3740;uso_seguridad_socorro_emergencia;3338;Permiso;2016-01-21 15:32:16.737;2016-01-21 15:32:16.737
3745;uso_no_comercial;3343;Permiso;2016-01-21 15:42:51.380;2016-01-21 15:42:51.380
3751;uso_no_comercial;3349;Permiso;2016-01-21 15:48:51.990;2016-01-21 15:48:51.990
3754;uso_no_comercial;3352;Permiso;2016-01-21 15:52:52.913;2016-01-21 15:52:52.913
3758;uso_no_comercial;3356;Permiso;2016-01-21 16:02:21.430;2016-01-21 16:02:21.430
3759;uso_no_comercial;3357;Permiso;2016-01-21 16:15:37.570;2016-01-21 16:15:37.570
3762;uso_no_comercial;3358;Permiso;2016-01-21 16:26:37.447;2016-01-21 16:26:37.447
3763;uso_no_comercial;3359;Permiso;2016-01-21 16:41:48.607;2016-01-21 16:41:48.607
3765;uso_no_comercial;3361;Permiso;2016-01-21 16:43:46.043;2016-01-21 16:43:46.043
3769;uso_no_comercial;3365;Permiso;2016-01-21 16:55:33.387;2016-01-21 16:55:33.387
3772;uso_no_comercial;3368;Permiso;2016-01-21 17:23:33.547;2016-01-21 17:23:33.547
3777;uso_no_comercial;3372;Permiso;2016-01-21 17:48:41.597;2016-01-21 17:48:41.597
3778;no_aplica;3373;Permiso;2016-01-21 18:14:34.023;2016-01-21 18:14:34.023
3779;uso_comercial;315;ConsecionAnterior;2016-01-21 19:21:13.233;2016-01-21 19:21:13.233
3782;uso_no_comercial;316;ConsecionAnterior;2016-01-21 19:39:36.767;2016-01-21 19:39:36.767
3785;uso_no_comercial;3378;Permiso;2016-01-21 20:01:33.863;2016-01-21 20:01:33.863
3787;uso_no_comercial;3380;Permiso;2016-01-21 20:25:23.990;2016-01-21 20:25:23.990
3789;uso_seguridad_socorro_emergencia;3382;Permiso;2016-01-21 20:51:21.087;2016-01-21 20:51:21.087
3791;uso_seguridad_socorro_emergencia;3384;Permiso;2016-01-21 21:07:56.717;2016-01-21 21:07:56.717
3792;uso_seguridad_socorro_emergencia;3385;Permiso;2016-01-21 21:21:48.170;2016-01-21 21:21:48.170
3795;uso_no_comercial;3388;Permiso;2016-01-21 21:39:44.030;2016-01-21 21:39:44.030
3796;uso_no_comercial;3389;Permiso;2016-01-21 21:45:27.313;2016-01-21 21:45:27.313
3797;uso_no_comercial;3390;Permiso;2016-01-21 21:46:55.187;2016-01-21 21:46:55.187
3798;uso_oficial;3391;Permiso;2016-01-22 14:14:31.820;2016-01-22 14:14:31.820
3800;uso_seguridad_socorro_emergencia;3393;Permiso;2016-01-22 14:25:30.087;2016-01-22 14:25:30.087
3801;uso_no_comercial;3394;Permiso;2016-01-22 14:28:58.150;2016-01-22 14:28:58.150
3802;uso_no_comercial;3395;Permiso;2016-01-22 14:40:27.837;2016-01-22 14:40:27.837
3803;uso_no_comercial;3396;Permiso;2016-01-22 14:47:54.027;2016-01-22 14:47:54.027
3804;uso_seguridad_socorro_emergencia;3397;Permiso;2016-01-22 15:13:49.077;2016-01-22 15:13:49.077
3805;uso_comercial;3398;Permiso;2016-01-22 15:42:06.533;2016-01-22 15:42:06.533
3812;uso_oficial;95;ConcesionDirect;2016-01-22 16:09:38.897;2016-01-22 16:09:38.897
3813;uso_no_comercial;3399;Permiso;2016-01-22 16:32:05.460;2016-01-22 16:32:05.460
3816;uso_no_comercial;3400;Permiso;2016-01-22 16:35:49.383;2016-01-22 16:35:49.383
3827;uso_no_comercial;3403;Permiso;2016-01-22 19:36:52.540;2016-01-22 19:36:52.540
