id;tipo_frecuencia;ancho_banda_desde;ancho_banda_hasta;unidad_desde;unidad_hasta;espectro_id;created_at;updated_at;desde;hasta;tx_desde;tx_hasta;rx_desde;rx_hasta
54;frecuencia_tx_rx;NULL;NULL;mhz;NULL;62;2015-11-17 16:31:27.773;2015-11-17 16:31:27.773;;;142,6000;;139,4875;
67;frecuencia_tx_rx;NULL;NULL;mhz;NULL;71;2015-11-18 16:31:05.783;2015-11-18 16:31:05.783;;;;;;
68;frecuencia_tx_rx;NULL;NULL;mhz;NULL;72;2015-11-18 16:31:05.860;2015-11-18 16:31:05.860;;;;;;
69;frecuencia_tx_rx;NULL;NULL;mhz;NULL;73;2015-11-18 16:31:07.127;2015-11-18 16:31:07.127;;;;;;
71;frecuencia;NULL;NULL;mhz;NULL;75;2015-11-18 16:34:48.247;2015-11-18 16:34:48.247;;;;;;
72;frecuencia;NULL;NULL;mhz;NULL;76;2015-11-18 16:36:40.247;2015-11-18 16:36:40.247;;;;;;
73;frecuencia;NULL;NULL;mhz;NULL;77;2015-11-18 16:37:36.507;2015-11-18 16:37:36.507;;;;;;
86;frecuencia_tx_rx;NULL;NULL;mhz;NULL;86;2015-11-26 16:09:40.280;2015-11-26 16:09:40.280;;;1495.0;;11895.0;
306;;NULL;NULL;mhz;NULL;147;2015-12-07 17:00:12.917;2015-12-07 17:00:12.917;;;;;;
330;frecuencia;NULL;NULL;mhz;NULL;164;2015-12-07 20:23:43.410;2015-12-07 20:23:43.410;;;;;;
331;rango_frecuencias;NULL;NULL;mhz;NULL;164;2015-12-07 20:23:43.410;2015-12-07 20:23:43.410;;;;;;
332;rango_frecuencias;NULL;NULL;mhz;NULL;164;2015-12-07 20:23:43.427;2015-12-07 20:23:43.427;;;;;;
333;rango_frecuencias;NULL;NULL;mhz;NULL;165;2015-12-07 20:28:26.303;2015-12-07 20:28:26.303;6820;6840;;;;
340;frecuencia_tx_rx;NULL;NULL;mhz;NULL;171;2015-12-08 17:28:20.693;2015-12-08 17:28:20.693;;;14025;;11733;
350;rango_frecuencias;NULL;NULL;mhz;NULL;175;2015-12-08 19:36:34.880;2015-12-08 19:36:34.880;7.100;7.125;;;;
351;frecuencia;NULL;NULL;mhz;NULL;175;2015-12-08 19:36:34.880;2015-12-08 19:36:34.880;;;;;;
491;rango_frecuencias;NULL;NULL;mhz;NULL;199;2015-12-08 20:37:32.200;2015-12-08 20:37:32.200;186;192;;;;
492;frecuencia;NULL;NULL;mhz;NULL;199;2015-12-08 20:37:32.200;2015-12-08 20:37:32.200;620;626;;;;
685;frecuencia_tx_rx;NULL;NULL;mhz;NULL;219;2015-12-09 19:20:12.593;2015-12-09 19:20:12.593;;;242.9750;;237.9750;
735;;NULL;NULL;mhz;NULL;261;2015-12-09 21:21:54.640;2015-12-09 21:21:54.640;;;;;;
738;frecuencia;NULL;NULL;mhz;NULL;263;2015-12-09 21:24:05.733;2015-12-09 21:24:05.733;;;;;;
739;rango_frecuencias;NULL;NULL;mhz;NULL;263;2015-12-09 21:24:05.733;2015-12-09 21:24:05.733;;;;;;
740;rango_frecuencias;NULL;NULL;mhz;NULL;263;2015-12-09 21:24:05.750;2015-12-09 21:24:05.750;;;;;;
748;frecuencia;NULL;NULL;mhz;NULL;271;2015-12-10 16:21:46.867;2015-12-10 16:21:46.867;;;229.0375;;229.0375;
754;frecuencia_tx_rx;NULL;NULL;mhz;NULL;276;2015-12-10 17:15:01.530;2015-12-10 17:15:01.530;;;449.7625;;444.7625;
761;rango_frecuencias_tx_rx;NULL;NULL;mhz;NULL;283;2015-12-10 19:39:30.873;2015-12-10 19:39:30.873;;;;;108.000;117.975
762;rango_frecuencias_tx_rx;NULL;NULL;mhz;NULL;283;2015-12-10 19:39:30.873;2015-12-10 19:39:30.873;;;117.975;136.975;;
763;rango_frecuencias;NULL;NULL;mhz;NULL;283;2015-12-10 19:39:30.873;2015-12-10 19:39:30.873;329.150;335.000;;;;
770;frecuencia;NULL;NULL;mhz;NULL;290;2015-12-10 20:41:15.943;2015-12-10 20:41:15.943;;;245.7000;;245.7000;
772;frecuencia_tx_rx;NULL;NULL;mhz;NULL;292;2015-12-10 21:22:50.073;2015-12-10 21:22:50.073;;;168.2625;;165.2625;
775;frecuencia;NULL;NULL;mhz;NULL;294;2015-12-10 21:25:40.107;2015-12-10 21:25:40.107;;;441.3750;;441.3750;
776;frecuencia;NULL;NULL;mhz;NULL;294;2015-12-10 21:25:40.107;2015-12-10 21:25:40.107;;;446.3750;;446.3750;
780;frecuencia;NULL;NULL;mhz;NULL;298;2015-12-11 14:20:05.647;2015-12-11 14:20:05.647;;;154.4375;;154.4375;
782;frecuencia_tx_rx;NULL;NULL;mhz;NULL;300;2015-12-11 14:56:25.573;2015-12-11 14:56:25.573;;;143.1625;;140.1500;
789;rango_frecuencias_tx_rx;NULL;NULL;mhz;NULL;306;2015-12-11 16:01:53.783;2015-12-11 16:01:53.783;;;156.025;157.425;156.050;163.275
790;rango_frecuencias_tx_rx;NULL;NULL;mhz;NULL;306;2015-12-11 16:01:53.783;2015-12-11 16:01:53.783;;;2;23;;
791;frecuencia_tx_rx;NULL;NULL;mhz;NULL;307;2015-12-11 16:21:24.597;2015-12-11 16:21:24.597;;;445.6125;;440.6125;
793;frecuencia_tx_rx;NULL;NULL;mhz;NULL;309;2015-12-11 17:04:44.227;2015-12-11 17:04:44.227;;;141.2875;;138.1875;
794;frecuencia;NULL;NULL;mhz;NULL;309;2015-12-11 17:04:44.243;2015-12-11 17:04:44.243;;;154.2125;;154.2125;
2781;frecuencia_tx_rx;NULL;NULL;mhz;NULL;2299;2015-12-14 15:08:12.773;2015-12-14 15:08:12.773;;;270.1125;;265.1125;
2783;frecuencia;NULL;NULL;mhz;NULL;2301;2015-12-14 16:10:22.700;2015-12-14 16:10:22.700;117.975;137;;;;
2788;frecuencia_tx_rx;NULL;NULL;mhz;NULL;2304;2015-12-14 16:35:17.673;2015-12-14 16:35:17.673;;;153.9375;;150.9375;
2803;frecuencia_tx_rx;NULL;NULL;mhz;NULL;2316;2015-12-14 21:01:15.137;2015-12-14 21:01:15.137;;;166.7375;;163.6000;
2804;frecuencia_tx_rx;NULL;NULL;mhz;NULL;2316;2015-12-14 21:01:15.153;2015-12-14 21:01:15.153;;;166.7675;;163.6375;
2807;frecuencia_tx_rx;NULL;NULL;mhz;NULL;2318;2015-12-14 21:28:02.107;2015-12-14 21:28:02.107;;;154.5375;;151.5375;
2811;frecuencia_tx_rx;NULL;NULL;mhz;NULL;2321;2015-12-15 16:56:19.410;2015-12-15 16:56:19.410;;;445.6875;;440.6250;
2812;frecuencia_tx_rx;NULL;NULL;mhz;NULL;2322;2015-12-15 16:57:55.113;2015-12-15 16:57:55.113;;;143.2125;;140.2000;
