id;modalidad_permiso;created_at;updated_at
31;otros;2015-11-17 16:31:27.710;2015-11-17 16:31:27.710
32;otros;2015-11-18 16:31:05.750;2015-11-18 16:31:05.750
33;otros;2015-11-18 16:31:05.847;2015-11-18 16:31:05.847
34;otros;2015-11-18 16:31:07.110;2015-11-18 16:31:07.110
35;otros;2015-11-18 16:34:48.217;2015-11-18 16:34:48.217
36;otros;2015-11-18 16:36:40.217;2015-11-18 16:36:40.217
37;otros;2015-11-18 16:37:36.490;2015-11-18 16:37:36.490
40;radiocomunicacion_banda_angosta;2015-12-09 19:20:12.563;2015-12-09 19:20:12.563
57;radioaficionado;2015-12-10 16:21:46.837;2015-12-10 16:21:46.837
62;radiocomunicacion_banda_angosta;2015-12-10 17:15:01.513;2015-12-10 17:15:01.513
69;radiocomunicacion_banda_aeronautica;2015-12-10 19:39:30.860;2015-12-10 19:39:30.860
76;radioaficionado;2015-12-10 20:41:15.927;2015-12-10 20:41:15.927
78;radiocomunicacion_banda_angosta;2015-12-10 21:22:50.027;2015-12-10 21:22:50.027
80;radioaficionado;2015-12-10 21:25:40.090;2015-12-10 21:25:40.090
84;radiocomunicacion_banda_angosta;2015-12-11 14:20:05.427;2015-12-11 14:20:05.427
86;radiocomunicacion_banda_angosta;2015-12-11 14:56:25.557;2015-12-11 14:56:25.557
92;radiocomunicacion_banda_marina;2015-12-11 16:01:53.753;2015-12-11 16:01:53.753
93;radiocomunicacion_banda_angosta;2015-12-11 16:21:24.583;2015-12-11 16:21:24.583
95;radiocomunicacion_banda_angosta;2015-12-11 17:04:44.213;2015-12-11 17:04:44.213
2085;radiocomunicacion_banda_angosta;2015-12-14 15:08:12.677;2015-12-14 15:08:12.677
2087;radiocomunicacion_banda_aeronautica;2015-12-14 16:10:22.670;2015-12-14 16:10:22.670
2090;radiocomunicacion_banda_angosta;2015-12-14 16:35:17.627;2015-12-14 16:35:17.627
2102;radiocomunicacion_banda_angosta;2015-12-14 21:01:15.120;2015-12-14 21:01:15.120
2104;radiocomunicacion_banda_angosta;2015-12-14 21:28:02.077;2015-12-14 21:28:02.077
2107;radioaficionado;2015-12-15 16:56:19.380;2015-12-15 16:56:19.380
2108;radiocomunicacion_banda_angosta;2015-12-15 16:57:55.097;2015-12-15 16:57:55.097
2110;radioaficionado;2015-12-15 17:53:30.010;2015-12-15 17:53:30.010
