id;rango_numeracion;numero_asignado;tipo_recurso_numerico;nota;created_at;updated_at
7;NULL;NULL;NULL;NULL;2015-12-10 16:57:03.247;2015-12-10 16:57:03.247
8;NULL;NULL;NULL;NULL;2015-12-10 16:57:28.417;2015-12-10 16:57:28.417
9;NULL;NULL;NULL;NULL;2015-12-10 16:58:04.450;2015-12-10 16:58:04.450
10;NULL;NULL;NULL;NULL;2015-12-10 16:58:25.073;2015-12-10 16:58:25.073
12;NULL;NULL;NULL;NULL;2015-12-10 17:42:22.097;2015-12-10 17:42:22.097
14;NULL;NULL;NULL;NULL;2015-12-10 17:47:59.720;2015-12-10 17:47:59.720
15;NULL;NULL;NULL;NULL;2016-01-08 17:38:12.867;2016-01-08 17:38:12.867
19;NULL;NULL;NULL;NULL;2016-01-14 17:26:13.953;2016-01-14 17:26:13.953
20;NULL;NULL;NULL;NULL;2016-01-14 17:31:18.487;2016-01-14 17:31:18.487
21;NULL;NULL;NULL;NULL;2016-01-26 21:03:18.147;2016-01-26 21:03:18.147
1023;NULL;NULL;NULL;NULL;2016-01-27 15:40:42.220;2016-01-27 15:40:42.220
1024;NULL;NULL;NULL;NULL;2016-01-27 16:09:38.473;2016-01-27 16:09:38.473
1026;NULL;NULL;NULL;NULL;2016-01-27 16:34:02.570;2016-01-27 16:34:02.570
1029;NULL;NULL;NULL;NULL;2016-01-27 16:39:21.697;2016-01-27 16:39:21.697
1031;NULL;NULL;NULL;NULL;2016-01-27 16:45:26.743;2016-01-27 16:45:26.743
1033;NULL;NULL;NULL;NULL;2016-01-27 17:04:52.527;2016-01-27 17:04:52.527
1035;NULL;NULL;NULL;NULL;2016-01-27 17:18:23.887;2016-01-27 17:18:23.887
1037;NULL;NULL;NULL;NULL;2016-01-27 17:24:47.467;2016-01-27 17:24:47.467
1043;NULL;NULL;NULL;NULL;2016-01-27 18:01:38.627;2016-01-27 18:01:38.627
1047;NULL;NULL;NULL;NULL;2016-01-27 19:33:16.247;2016-01-27 19:33:16.247
1049;NULL;NULL;NULL;NULL;2016-01-27 19:48:47.593;2016-01-27 19:48:47.593
1051;NULL;NULL;NULL;NULL;2016-01-27 20:06:49.517;2016-01-27 20:06:49.517
1053;NULL;NULL;NULL;NULL;2016-01-27 20:14:16.863;2016-01-27 20:14:16.863
1055;NULL;NULL;NULL;NULL;2016-01-27 20:20:35.380;2016-01-27 20:20:35.380
1056;NULL;NULL;NULL;NULL;2016-01-27 20:24:20.003;2016-01-27 20:24:20.003
1060;NULL;NULL;NULL;NULL;2016-01-27 20:36:51.193;2016-01-27 20:36:51.193
1061;NULL;NULL;NULL;NULL;2016-01-27 20:38:08.053;2016-01-27 20:38:08.053
1062;NULL;NULL;NULL;NULL;2016-01-27 20:48:32.493;2016-01-27 20:48:32.493
1063;NULL;NULL;NULL;NULL;2016-01-27 20:56:17.070;2016-01-27 20:56:17.070
1070;NULL;NULL;NULL;NULL;2016-01-27 21:27:23.323;2016-01-27 21:27:23.323
1071;NULL;NULL;NULL;NULL;2016-01-27 21:38:04.200;2016-01-27 21:38:04.200
1072;NULL;NULL;NULL;NULL;2016-01-27 21:39:35.480;2016-01-27 21:39:35.480
1074;NULL;NULL;NULL;NULL;2016-01-27 21:46:37.547;2016-01-27 21:46:37.547
1075;NULL;NULL;NULL;NULL;2016-01-28 14:34:08.710;2016-01-28 14:34:08.710
1076;NULL;NULL;NULL;NULL;2016-01-28 14:41:16.057;2016-01-28 14:41:16.057
1077;NULL;NULL;NULL;NULL;2016-01-28 14:41:38.413;2016-01-28 14:41:38.413
1080;NULL;NULL;NULL;NULL;2016-01-28 14:54:22.540;2016-01-28 14:54:22.540
1082;NULL;NULL;NULL;NULL;2016-01-28 14:58:14.243;2016-01-28 14:58:14.243
1083;NULL;NULL;NULL;NULL;2016-01-28 15:01:36.620;2016-01-28 15:01:36.620
1084;NULL;NULL;NULL;NULL;2016-01-28 15:37:01.857;2016-01-28 15:37:01.857
1086;NULL;NULL;NULL;NULL;2016-01-28 15:42:47.827;2016-01-28 15:42:47.827
1088;NULL;NULL;NULL;NULL;2016-01-28 15:50:33.423;2016-01-28 15:50:33.423
1089;NULL;NULL;NULL;NULL;2016-01-28 15:54:17.877;2016-01-28 15:54:17.877
1090;NULL;NULL;NULL;NULL;2016-01-28 16:10:09.127;2016-01-28 16:10:09.127
1091;NULL;NULL;NULL;NULL;2016-01-28 16:18:20.317;2016-01-28 16:18:20.317
1093;NULL;NULL;NULL;NULL;2016-01-28 16:32:04.397;2016-01-28 16:32:04.397
1094;NULL;NULL;NULL;NULL;2016-01-28 16:46:55.180;2016-01-28 16:46:55.180
1095;NULL;NULL;NULL;NULL;2016-01-28 16:49:40.587;2016-01-28 16:49:40.587
1096;NULL;NULL;NULL;NULL;2016-01-28 17:03:51.900;2016-01-28 17:03:51.900
1097;NULL;NULL;NULL;NULL;2016-01-28 17:04:26.353;2016-01-28 17:04:26.353
1098;NULL;NULL;NULL;NULL;2016-01-28 17:04:58.197;2016-01-28 17:04:58.197
1099;NULL;NULL;NULL;NULL;2016-01-28 17:05:31.367;2016-01-28 17:05:31.367
1100;NULL;NULL;NULL;NULL;2016-01-28 17:06:01.853;2016-01-28 17:06:01.853
1101;NULL;NULL;NULL;NULL;2016-01-28 17:06:32.133;2016-01-28 17:06:32.133
1102;NULL;NULL;NULL;NULL;2016-01-28 17:07:08.540;2016-01-28 17:07:08.540
1103;NULL;NULL;NULL;NULL;2016-01-28 17:07:43.027;2016-01-28 17:07:43.027
1104;NULL;NULL;NULL;NULL;2016-01-28 17:08:12.353;2016-01-28 17:08:12.353
1105;NULL;NULL;NULL;NULL;2016-01-28 17:08:48.417;2016-01-28 17:08:48.417
