id;contrato_adhesions_id;sci_servicios_id;created_at;updated_at;servicio
6;4;18;2016-01-14 20:16:15.507;2016-01-14 20:16:15.507;Acceso a Internet
13;7;4;2016-02-11 17:41:37.267;2016-02-11 17:41:37.267;Contrato de servicio de televisión satelital
16;10;18;2016-02-11 20:31:39.547;2016-02-11 20:31:39.547;ACCESO A INTERNET INALAMBRICO
17;10;18;2016-02-11 20:31:39.547;2016-02-11 20:31:39.547;SERVICIO DE LARGA DISTANCIA INTERNACIONAL
18;10;18;2016-02-11 20:31:39.547;2016-02-11 20:31:39.547;SERVICIO DE ROAMING INTERNACIONAL
19;10;18;2016-02-11 20:31:39.563;2016-02-11 20:31:39.563;SERVICIOS DE VALOR AGREGADO(SERVICIOS DE INFORMACION)
20;11;18;2016-02-11 20:32:15.250;2016-02-11 20:32:15.250;
21;12;4;2016-02-11 20:39:23.427;2016-02-11 20:39:23.427;Modalidad de Televisión Satelital
22;13;18;2016-02-11 20:41:22.023;2016-02-11 20:41:22.023;Acceso a internet fijo por satélite
27;15;18;2016-02-11 20:56:46.263;2016-02-11 20:56:46.263;Transporte de datos: Consiste en el envio de datos entre sitios de una misma red.
28;15;18;2016-02-11 20:56:46.263;2016-02-11 20:56:46.263;Internet: Consiste en la distribución del servicio de conectividad al protocolo de comunicaciones de internet para la transmisión y recepción de datos.
29;15;18;2016-02-11 20:56:46.277;2016-02-11 20:56:46.277;Transmisión inalámbrica: es una tecnología por medio de la cual los datos se envían a través de un enlace  inalámbrico en bandas de uso libre.
30;15;18;2016-02-11 20:56:46.277;2016-02-11 20:56:46.277;Servicio VoIP: consiste en la codificación y/ o compresión de la voz para su transmisión a través de redes  basadas en el protocolo IP, la cual no cuenta con interconexión a las redes locales ni numeración  nacional otorgada por la SUTEL.
31;16;18;2016-02-11 20:58:40.763;2016-02-11 20:58:40.763;INTERNET VIA CABLE MODEM
32;16;18;2016-02-11 20:58:40.763;2016-02-11 20:58:40.763;INTERNET VIA E-MTA
33;16;18;2016-02-11 20:58:40.763;2016-02-11 20:58:40.763;INTERNET POR FIBRA OPTICA
34;16;18;2016-02-11 20:58:40.763;2016-02-11 20:58:40.763;VIRTUAL PRIVATE NETWORK(VPN) CAPA 2 PUNTO A UNTO
35;16;18;2016-02-11 20:58:40.780;2016-02-11 20:58:40.780;VIRTUAL PRIVATE NETWORK(VPN) CAPA 2 MULTIPUNTO
36;16;18;2016-02-11 20:58:40.780;2016-02-11 20:58:40.780;TELEVISION DIGITAL 
37;16;18;2016-02-11 20:58:40.780;2016-02-11 20:58:40.780;TELEVISION ANALOGICA
38;16;18;2016-02-11 20:58:40.780;2016-02-11 20:58:40.780;CANALES DIGITALES DESENCRIPTADOS
39;16;18;2016-02-11 20:58:40.780;2016-02-11 20:58:40.780;TELEFONIA IP POR E-MTA
40;16;18;2016-02-11 20:58:40.780;2016-02-11 20:58:40.780;TELEFONIA IP CON PROTOCOLO SIP
41;16;18;2016-02-11 20:58:40.780;2016-02-11 20:58:40.780;SERVICIO DE LARGA DISTANCIA INTERNACIONAL
42;16;18;2016-02-11 20:58:40.793;2016-02-11 20:58:40.793;SERVICIOS DE VALOR AGREGADO Y COMPLEMENTARIOS (SERVICIOS DE INFORMACION)
44;18;18;2016-02-11 21:29:20.523;2016-02-11 21:29:20.523;SERVICIOS DE VIDEO: SERVICIO BASICO
45;18;18;2016-02-11 21:29:20.523;2016-02-11 21:29:20.523;SERVICIOS DE VIDEO: SERVICIO IPTV BASICO
46;18;18;2016-02-11 21:29:20.523;2016-02-11 21:29:20.523;SERVICIOS DE VIDEO: SERVICIO IPTV  GOLD
47;18;18;2016-02-11 21:29:20.523;2016-02-11 21:29:20.523;SERVICIOS DE VIDEO: SERVICIO IPTV PREMIUM
48;18;18;2016-02-11 21:29:20.540;2016-02-11 21:29:20.540;SERVICIO DE DATOS: INTERNET
49;19;2;2016-02-11 21:42:11.277;2016-02-11 21:42:11.277;
50;19;18;2016-02-11 21:42:11.277;2016-02-11 21:42:11.277;No aplica
51;20;4;2016-02-11 21:43:17.887;2016-02-11 21:43:17.887;Prestación del servicio de recepción de señales con el fin de que el "suscriptor" reciba en su domicilio el paquete de señales y la programación.
52;21;18;2016-02-11 21:45:36.747;2016-02-11 21:45:36.747;INTERNET POR FIBRA OPTICA
53;21;18;2016-02-11 21:45:36.747;2016-02-11 21:45:36.747;SERVICIOS DE DATOS PRIVADOS
54;21;18;2016-02-11 21:45:36.747;2016-02-11 21:45:36.747; SERVICIOS DE DATOS EN CAPA 2 PUNTO A PUNTO
55;21;18;2016-02-11 21:45:36.747;2016-02-11 21:45:36.747;SERVICIOS DE DATOS EN CAPA 2 PUNTO MULTIPUNTO
56;21;18;2016-02-11 21:45:36.747;2016-02-11 21:45:36.747;SERVICIOS DE DATOS EN CAPA 3 MULTIPUNTO
57;21;18;2016-02-11 21:45:36.747;2016-02-11 21:45:36.747;TELEFONIA TRONCALIZADA CON PROTOCOLO SIP
58;21;18;2016-02-11 21:45:36.760;2016-02-11 21:45:36.760;ADMINISTRACION DEL SERVICIO
60;23;1;2016-02-11 21:57:34.480;2016-02-11 21:57:34.480;
61;23;3;2016-02-11 21:57:34.480;2016-02-11 21:57:34.480;
62;23;4;2016-02-11 21:57:34.497;2016-02-11 21:57:34.497;
63;24;1;2016-02-12 14:40:59.783;2016-02-12 14:40:59.783;Mediante SIP Trunk y VoIP
64;25;18;2016-02-12 14:44:41.670;2016-02-12 14:44:41.670;SERVICIO BASICO TV CABLE
65;25;18;2016-02-12 14:44:41.670;2016-02-12 14:44:41.670;SERVICIO TV DIGITAL POR CABLE
66;25;18;2016-02-12 14:44:41.670;2016-02-12 14:44:41.670;TV ADICIONAL
67;25;18;2016-02-12 14:44:41.670;2016-02-12 14:44:41.670;ALQUILER DE CONVERTIDOR DIGITAL
68;25;18;2016-02-12 14:44:41.670;2016-02-12 14:44:41.670;SERVICIO DE ACCESO A INTERNET
69;25;18;2016-02-12 14:44:41.687;2016-02-12 14:44:41.687;SERVICIO DE TELEFONIA IP
70;25;18;2016-02-12 14:44:41.687;2016-02-12 14:44:41.687;SERVICIO DTH
71;25;18;2016-02-12 14:44:41.687;2016-02-12 14:44:41.687;ALQUILER DE MÓDEM/MTA/
72;26;18;2016-02-12 14:45:48.310;2016-02-12 14:45:48.310;Internet por fibra óptica
73;26;18;2016-02-12 14:45:48.327;2016-02-12 14:45:48.327;Servicio de Datos
74;26;18;2016-02-12 14:45:48.327;2016-02-12 14:45:48.327;Telefonía Troncalizada con protocolo SIP
75;26;18;2016-02-12 14:45:48.327;2016-02-12 14:45:48.327;Servicio de Larga distancia Internacional
76;26;18;2016-02-12 14:45:48.327;2016-02-12 14:45:48.327;Administración del Servicio
77;27;18;2016-02-12 15:02:53.487;2016-02-12 15:02:53.487;TIPO DE INSTALACION, DUCTO(TUBOS). AEREO
78;27;18;2016-02-12 15:02:53.500;2016-02-12 15:02:53.500;PAQUETE CABLEVISION BASICO
79;27;18;2016-02-12 15:02:53.500;2016-02-12 15:02:53.500;PAQUETE CABLEVSION DIGITAL 
80;27;18;2016-02-12 15:02:53.500;2016-02-12 15:02:53.500;ALQUILER DE CAJA DECO DIGITAL
81;27;18;2016-02-12 15:02:53.500;2016-02-12 15:02:53.500;INTERNET
82;27;18;2016-02-12 15:02:53.500;2016-02-12 15:02:53.500;ALQUILER DE CABLE MODEM
83;27;18;2016-02-12 15:02:53.500;2016-02-12 15:02:53.500;PUNTOS ADICIONALES
84;27;18;2016-02-12 15:02:53.517;2016-02-12 15:02:53.517;CABLEADO ADICIONAL(PARA DISTANCIAS MAYORES A 80 METROS HASTA 120 METROS DESDE LA TOMA PRINCIAL HASTA EL TELEVISOR DEL CLIENTE).
