id;sciservicio_id;titulo_habilitante_id;created_at;updated_at;nota;servicio
296;NULL;186;2015-11-13 17:27:59.553;2015-11-13 17:27:59.553;NULL;Telefonía pública internacional
297;18;186;2015-11-13 17:27:59.553;2015-11-13 17:27:59.553;NULL;
298;NULL;186;2015-11-13 17:27:59.553;2015-11-13 17:27:59.553;NULL;Acceso a internet
373;18;217;2015-11-16 15:57:39.610;2015-11-16 15:57:39.610;NULL;Acceso a Internet
374;7;217;2015-11-16 15:57:39.610;2015-11-16 15:57:39.610;NULL;
386;18;224;2015-11-16 16:05:15.390;2015-11-16 16:05:15.390;NULL;Acceso a Internet
387;7;224;2015-11-16 16:05:15.390;2015-11-16 16:05:15.390;NULL;
416;NULL;238;2015-11-16 17:22:48.243;2015-11-16 17:22:48.243;NULL;Television por cable
417;NULL;238;2015-11-16 17:22:48.260;2015-11-16 17:22:48.260;NULL;Acceso a internet
418;18;238;2015-11-16 17:22:48.260;2015-11-16 17:22:48.260;NULL;
419;18;238;2015-11-16 17:22:48.260;2015-11-16 17:22:48.260;NULL;
433;NULL;245;2015-11-16 19:35:53.167;2015-11-16 19:35:53.167;NULL;Acarreador de Telefonía IP prepago
441;18;251;2015-11-16 21:25:15.913;2015-11-16 21:25:15.913;NULL;Acarreador de telefonía IP Prepago
442;3;251;2015-11-16 21:25:15.913;2015-11-16 21:25:15.913;NULL;
452;NULL;256;2015-11-16 21:59:31.793;2015-11-16 21:59:31.793;NULL;Acceso a internet
453;NULL;256;2015-11-16 21:59:31.793;2015-11-16 21:59:31.793;NULL;Servicio de trasnferencia de datos
454;NULL;256;2015-11-16 21:59:31.793;2015-11-16 21:59:31.793;NULL;Enlaces de datos punto a punto
455;NULL;257;2015-11-17 14:48:02.757;2015-11-17 14:48:02.757;NULL;Acceso a internet
456;3;257;2015-11-17 14:48:02.787;2015-11-17 14:48:02.787;NULL;
457;NULL;257;2015-11-17 14:48:02.787;2015-11-17 14:48:02.787;NULL;Enlaces punto a punto
458;NULL;257;2015-11-17 14:48:02.787;2015-11-17 14:48:02.787;NULL;Enlaces multipunto
475;NULL;264;2015-11-17 16:31:27.773;2015-11-17 16:31:27.773;NULL;
483;3;270;2015-11-17 17:14:02.307;2015-11-17 17:14:02.307;NULL;Trasferencia de datos en la modalidad de acceso a internet por medio de fibra optica, mediante tecnologia FTTH.
484;4;270;2015-11-17 17:14:02.323;2015-11-17 17:14:02.323;NULL;Bajo la modalidad de IPTV
512;NULL;282;2015-11-17 19:08:00.417;2015-11-17 19:08:00.417;NULL;Acceso a internet
513;NULL;282;2015-11-17 19:08:00.417;2015-11-17 19:08:00.417;NULL;Canales punto a punto y punto a multipunto
514;NULL;282;2015-11-17 19:08:00.417;2015-11-17 19:08:00.417;NULL;Servicios VPN
515;3;282;2015-11-17 19:08:00.433;2015-11-17 19:08:00.433;NULL;
526;NULL;287;2015-11-17 19:46:38.043;2015-11-17 19:46:38.043;NULL;Acceso a internet
527;NULL;287;2015-11-17 19:46:38.043;2015-11-17 19:46:38.043;NULL;Television por cable
528;NULL;288;2015-11-17 20:12:00.107;2015-11-17 20:12:00.107;NULL;Acceso a internet
529;7;288;2015-11-17 20:12:00.120;2015-11-17 20:12:00.120;NULL;
530;NULL;288;2015-11-17 20:12:00.120;2015-11-17 20:12:00.120;NULL;Redes privadas virtuales
537;3;292;2015-11-17 20:37:47.013;2015-11-17 20:37:47.013;NULL;De extremo a extremo, por medio de enlaces punto a punto y multipunto
538;18;292;2015-11-17 20:37:47.013;2015-11-17 20:37:47.013;NULL;Acceso a Internet
539;NULL;292;2015-11-17 20:37:47.027;2015-11-17 20:37:47.027;NULL;
545;18;297;2015-11-17 21:00:15.877;2015-11-17 21:00:15.877;NULL;Acceso a Internet
546;7;297;2015-11-17 21:00:15.877;2015-11-17 21:00:15.877;NULL;
547;3;297;2015-11-17 21:00:15.877;2015-11-17 21:00:15.877;NULL;
