id;precio_interconexion;created_at;updated_at;acuerdo_acceso_interconexions_id;sci_servicios_id;servicio
5;510.00;2016-02-09 20:08:45.900;2016-02-09 20:08:45.900;4;18;11 Enlaces de 2 Mbps simetricos garantizados (con un costo de $510.00 para cada uno)
6;750.00;2016-02-09 20:08:45.917;2016-02-09 20:08:45.917;4;18;1 Enlace de 4 Mbps simetrico garantizado ubicado en Perez Zeledón (con un costo de  $750.00)
7;NULL;2016-02-09 21:27:42.167;2016-02-09 21:27:42.167;5;18;
9;4.00;2016-02-10 14:52:42.383;2016-02-10 14:52:42.383;7;18;Terminación de tráfico en redes fijas y Volp (Precio por minuto/monto en colones)
10;6.00;2016-02-10 14:52:42.383;2016-02-10 14:52:42.383;7;18;Transito a redes terceras  (Precio por minuto/monto en colones)
11;24.00;2016-02-10 14:52:42.383;2016-02-10 14:52:42.383;7;18;Transito + Terminación de tráfico  en redes móviles de terceros  (Precio por minuto/monto en colones)
12;4.00;2016-02-10 14:52:42.383;2016-02-10 14:52:42.383;7;18;Terminación de tráfico de cobro revertido- ambos  (Precio por minuto/monto en colones)
14;18.00;2016-02-10 16:16:03.253;2016-02-10 16:16:03.253;9;18;USO DE LA RED PARA TERMINACION DE TRAFICO LOCAL EN RED MOVIL DE TELEFONICA, COSTO POR MINUTO EN COLONES 
15;4.00;2016-02-10 16:16:03.270;2016-02-10 16:16:03.270;9;18;USO DE LA RED PARA TERMINACION DE TRAFICO LOCAL EN RED FIJA DEL PS, COSTO POR MUNITO EN COLONES
16;4.00;2016-02-10 16:16:03.270;2016-02-10 16:16:03.270;9;18;ORIGINACION DE TRAFICO LOCAL EN REDES DE TELEFONIA FIJA DEL PS HACIA PROVEEDORES DE SERVICIOS DE COBRO REVERTIDO  800 EN LAS REDES DE TELEFONICA, COSTO POR MUNITO EN COLONES
17;18.00;2016-02-10 16:16:03.270;2016-02-10 16:16:03.270;9;18;ORIGINACION DE TRAFICO LOCAL EN REDES DE TELEFONIA MOVIL DE TELEFONICA HACIA PROVEEDORES DE SERVICIOS DE COBRO  REVERTIDO 800 EN LAS REDES DEL PS, (NO INCUYE LOS SERVICIOS 800 PARA ORIGINACION DE LLAMADAS LDI),  COSTO POR MUNITO EN COLONES
18;4.00;2016-02-10 16:16:03.270;2016-02-10 16:16:03.270;9;18;ORIGINACION DE TRAFICO LOCAL EN REDES DE TELEFONIA FIJA DEL PS HACIA NUMEROS CORTOS EN LAS REDES DE TELEFONICA, (NO  INCLUYE SERVICIOS DE NUMEROS CORTOS PARA ORIGINACION DE LLAMADAS LDI), COSTO POR MUNITO EN COLONES
19;18.00;2016-02-10 16:16:03.270;2016-02-10 16:16:03.270;9;18;ORIGINACION DE TRAFICO LOCAL EN REDES DE TELEFONIA MOVIL DE TELEFONICA HACIA NUMEROS CORTOS EN LAS REDES DEL PS (NO INCLUYE SERVICIOS DE NUMEROS CORTOS PARA ORIGINACION DE LLAMADAS LDI), COSTO POR MUNITO EN COLONES
20;6.00;2016-02-10 16:16:03.287;2016-02-10 16:16:03.287;9;18;USO DE RED FIJA DE PS PARA TERMINACION EN RED FIJAS DE UN TERCERO, COSTO POR MUNITO EN COLONES 
