id;sciservicio_id;titulo_habilitante_id;created_at;updated_at;nota;servicio
36;NULL;30;2015-11-10 15:43:54.860;2015-11-10 15:43:54.860;NULL;
40;NULL;34;2015-11-10 16:50:08.417;2015-11-10 16:50:08.417;NULL;
42;NULL;36;2015-11-10 17:27:58.997;2015-11-10 17:27:58.997;NULL;TRANSMISION DE AUDIO Y VIDEO EN FORMA ANALOGICA Y DIGITAL
43;NULL;37;2015-11-10 17:32:57.200;2015-11-10 17:32:57.200;NULL;XXXXXXXXXX
44;7;38;2015-11-10 17:48:07.017;2015-11-10 17:48:07.017;NULL;
45;29;38;2015-11-10 17:48:07.017;2015-11-10 17:48:07.017;NULL;
46;35;38;2015-11-10 17:48:07.017;2015-11-10 17:48:07.017;NULL;Enlances de Conexion de Sistema de Telefonia Movil
47;7;39;2015-11-10 17:48:39.467;2015-11-10 17:48:39.467;NULL;
48;7;40;2015-11-10 17:49:42.437;2015-11-10 17:49:42.437;NULL;
58;7;44;2015-11-10 20:30:23.253;2015-11-10 20:30:23.253;NULL;
69;NULL;49;2015-11-10 20:41:30.457;2015-11-10 20:41:30.457;NULL; Transmisión de audio,  video y datos en formó analógica o digital, servicios de enlaces punto a punto,  soporte de redes públicas en transporte de datos,  video y voz,  incluyendo el protocolo IP y otros, así como enlaces de conexión de sistemas de telefonía móvil.
143;NULL;99;2015-11-11 21:43:06.523;2015-11-11 21:43:06.523;NULL;Acceso a internet
189;NULL;123;2015-11-12 17:48:33.967;2015-11-12 17:48:33.967;NULL;
190;NULL;124;2015-11-12 17:49:17.593;2015-11-12 17:49:17.593;NULL;
192;NULL;126;2015-11-12 17:49:58.247;2015-11-12 17:49:58.247;NULL;
223;NULL;141;2015-11-12 20:48:15.627;2015-11-12 20:48:15.627;NULL;
224;NULL;142;2015-11-12 20:49:11.097;2015-11-12 20:49:11.097;NULL;
225;18;143;2015-11-12 21:36:27.607;2015-11-12 21:36:27.607;NULL;Acceso a internet
228;18;145;2015-11-12 21:59:28.213;2015-11-12 21:59:28.213;NULL;Acceso a Internet
229;7;145;2015-11-12 21:59:28.213;2015-11-12 21:59:28.213;NULL;
231;NULL;147;2015-11-12 22:07:42.893;2015-11-12 22:07:42.893;NULL;Acceso a Internet
232;NULL;148;2015-11-12 22:15:00.737;2015-11-12 22:15:00.737;NULL;Acesso Internet
236;NULL;151;2015-11-13 14:32:17.800;2015-11-13 14:32:17.800;NULL;Acceso a internet
239;NULL;153;2015-11-13 14:36:28.067;2015-11-13 14:36:28.067;NULL;Acceso a Internet
241;NULL;155;2015-11-13 14:42:34.310;2015-11-13 14:42:34.310;NULL;Acceso a Internet
242;7;155;2015-11-13 14:42:34.310;2015-11-13 14:42:34.310;NULL;
243;NULL;156;2015-11-13 14:48:00.687;2015-11-13 14:48:00.687;NULL;Acceso a Internet
244;NULL;156;2015-11-13 14:48:00.687;2015-11-13 14:48:00.687;NULL;
246;7;158;2015-11-13 14:53:23.127;2015-11-13 14:53:23.127;NULL;
247;NULL;158;2015-11-13 14:53:23.140;2015-11-13 14:53:23.140;NULL;Acceso a internet
